2021,2,7.3,7.51,3.27,5.96,6.3,6.92,0.41,0.54,0.95,0.21,0.02,0.14,0.59,7.11,2.96,3.79,4.37,1.96,6.15,2.56,2.95,0.72,4.33,1.47,0.08,0.09,0.06,0.14,x,x,x
2021,3,0.03,0.32,3.91,0.39,0.01,0.01,0.3,0.55,6.2,8.51,3.82,7.81,1.27,3.1,1.49,0.4,0.38,1.13,0.13,0,0.01,0.01,0.45,0.45,2.93,3.68,2.21,1.47,0.09,0,0.06
2021,4,0,0,0,0.22,0.18,0.34,0.15,0.6,0.32,0.94,1.1,0.14,0.15,0.05,0.2,0.01,0,0.01,0.02,0.03,0,0,0,0,0,0.28,4.24,1.98,1.13,1.42,x
2021,5,0.64,0.79,15.53,2.81,2.47,1.22,12.91,7.24,1.98,1.77,4.42,4.19,4.22,2.49,5.53,6.59,3.75,4.72,1.52,8.81,8.43,1.26,10.12,4.53,3.37,0.52,0.45,0.39,0.02,0.01,0
2021,6,0.1,1.08,0.48,3.16,0.62,0.46,0.35,0.05,0.3,0.33,0.05,0,0.14,0,0.03,5.77,6.59,9.51,3.72,1.35,3.37,0.05,0.68,5.28,2.35,0.78,9.3,2.9,0.7,0.05,x
2021,7,0.08,2.19,6.51,9.71,14.61,3.84,2.13,0.28,3.18,1.42,7.29,3.38,0.03,0,0,0,0,0,0.07,1.91,0.01,0.19,2.61,0.54,2.89,3.22,5.12,5.63,5.04,5.54,3.04
2021,8,1.73,0.41,0.33,0.48,7.61,7.2,7.38,7.24,2.81,0.22,1.05,0.59,0.25,0.96,0.91,0.98,0.31,0.29,1.31,2.13,7.76,1.34,0.03,0.06,0.08,0.05,0.02,0.05,0.14,0.4,0.21
2021,9,0.02,0,0.14,0.02,0.41,0,0.39,3.81,3.17,1.53,0.01,1.25,3.92,5.53,0.03,0.02,0.46,1.51,1.89,0.11,0.07,0.12,0.17,0.11,0.19,11.41,3.63,15.89,2.22,9.71,x
2021,10,2.5,17.62,3.62,21.91,6.87,0.33,0.21,0.08,0.32,0.02,0.14,0.77,0.05,0.98,0.26,1.77,0.87,5.47,15.49,15.73,0.37,0.37,0.61,2.06,1.43,0.92,2.93,13.22,8.01,9.65,10.75
2021,11,1.84,2.05,2.2,0.33,0.22,1.22,0.05,0.62,1.43,1.1,1.87,1.76,0.08,0.18,0.57,0.43,0.12,0.39,0.06,0.8,0.87,0.07,0.04,0.85,2.39,10.53,2.54,0.85,0.7,5.85,x
2021,12,2.87,4.51,3.43,8.55,1.95,4.5,10.22,2.56,7.85,0.44,3.69,1,2.4,0.2,0.06,0.07,0.27,0.29,0.47,0.05,0.02,2.92,2,8.6,10.41,3.08,6.79,5.43,3.8,6.83,0.25
2022,1,3.63,3.32,3.45,1.02,0.15,4.09,4.67,6.1,0.79,1.93,0.84,0.16,0.1,0.13,1.43,0.13,0.09,0.45,0.23,0.06,0.02,0.04,0,0.01,0.02,0.76,0.22,0.42,0.11,1.34,0.52
2022,2,0.36,0.23,5.35,1.38,7.26,2.39,0.46,1.35,1.02,0.21,0.5,3.95,12.97,3.8,7.91,3.5,8.2,2.93,9.26,11.27,1.11,0.82,5.71,1.65,0.02,0.01,0.52,9.69,x,x,x
